ego-Facebook & 22.48 & 1.20 & 152 & \textbf{7.18} & 5.06 & 1688 & 28.29 & 11.86 & 188 & 28.97 & 11.48 & 364 \\
ca-GrQc & 19.05 & 0.28 & 126 & \textbf{4.02} & 0.81 & 1593 & 9.80 & 1.57 & 123 & 10.29 & 1.50 & 153 \\
Epa & 17.86 & 0.12 & 122 & \textbf{3.56} & 0.85 & 1779 & 6.00 & 1.78 & 120 & 7.54 & 2.11 & 143 \\
Eva & 12.67 & 0.13 & 120 & 5.32 & 3.21 & 1928 & \textbf{0.65} & 0.14 & 111 & 1.15 & 0.17 & 135 \\
ca-HepTh & 54.56 & 1.05 & 127 & \textbf{16.10} & 2.19 & 6298 & 52.44 & 9.51 & 156 & 48.08 & 8.35 & 216 \\
ca-HepPh & 146.66 & 1.11 & 195 & \textbf{41.16} & 11.04 & 8956 & 165.07 & 42.44 & 262 & 161.13 & 41.36 & 570 \\
