email-Eu-core & 1.05 & 0.07 & 102 & \textbf{0.39} & 0.10 & 159 & 0.99 & 0.49 & 127 \\
CollegeMsg & 2.19 & 0.06 & 109 & \textbf{0.61} & 0.17 & 337 & 1.60 & 1.01 & 130 \\
p2p-Gnutella08 & 12.52 & 0.38 & 125 & \textbf{2.32} & 1.47 & 3013 & 7.75 & 5.99 & 157 \\
Wiki-Vote & 22.25 & 1.17 & 175 & \textbf{2.31} & 3.24 & 4642 & 7.45 & 10.33 & 296 \\
p2p-Gnutella09 & 19.40 & 0.43 & 135 & \textbf{2.92} & 1.72 & 4990 & 9.98 & 8.11 & 170 \\
p2p-Gnutella05 & 25.03 & 0.12 & 143 & \textbf{4.54} & 2.74 & 6274 & 18.56 & 14.52 & 181 \\
p2p-Gnutella04 & 42.51 & 1.70 & 153 & \textbf{7.14} & 3.78 & 8169 & 29.36 & 21.41 & 202 \\
wiki-RfA & 68.90 & 0.28 & 249 & \textbf{6.27} & 10.04 & 9286 & 22.33 & 35.05 & 468 \\
